1,1,120.62,333.38,137.67000000000002,60.420000000000016,1,1,1.0
1,2,733.41,265.81,71.54000000000008,40.64999999999998,1,1,1.0
1,3,207.98,249.25,96.25000000000003,42.85000000000002,1,1,0.0
2,1,96.7,334.6,140.2,64.19999999999999,1,1,1.0
2,2,720.0,267.8,74.0,40.69999999999999,1,1,1.0
2,3,207.98,249.25,96.25000000000003,42.85000000000002,1,1,0.0
3,1,72.1,339.0,143.4,65.5,1,1,1.0
3,2,705.8,269.4,75.70000000000005,41.5,1,1,1.0
3,3,207.98,249.25,96.25000000000003,42.85000000000002,1,1,0.0
4,1,46.9,342.1,147.2,66.79999999999995,1,1,1.0
4,2,691.2,269.4,77.5,44.200000000000045,1,1,1.0
4,3,207.98,249.25,96.25000000000003,42.85000000000002,1,1,0.0
5,1,21.7,345.2,148.5,67.5,1,1,1.0
5,2,678.4,269.4,77.5,48.700000000000045,1,1,1.0
5,3,207.98,249.25,96.25000000000003,42.85000000000002,1,1,0.0
6,1,0.0,350.2,147.5,66.30000000000001,1,1,1.0
6,2,664.7,273.3,78.79999999999995,46.0,1,1,1.0
6,3,207.98,249.25,96.25000000000003,42.85000000000002,1,1,0.0
7,1,0.0,352.7,126.1,69.5,1,1,1.0
7,2,649.8,275.7,79.70000000000005,46.60000000000002,1,1,1.0
7,3,207.98,249.25,96.25000000000003,42.85000000000002,1,1,0.0
8,1,0.0,357.1,104.7,70.79999999999995,1,1,1.0
8,2,636.14,277.22,79.70000000000005,46.599999999999966,1,1,1.0
8,3,207.98,249.25,96.25000000000003,42.85000000000002,1,1,0.0
9,1,0.0,362.8,80.8,60.69999999999999,1,1,1.0
9,2,621.0,280.25,83.29999999999995,46.60000000000002,1,1,1.0
9,3,207.98,249.25,96.25000000000003,42.85000000000002,1,1,0.0
10,1,0.0,367.2,52.5,59.400000000000034,1,1,1.0
10,2,604.0,282.7,84.5,44.80000000000001,1,1,1.0
10,3,207.98,249.25,96.25000000000003,42.85000000000002,1,1,0.0
11,1,0.0,367.2,27.9,65.10000000000002,1,1,1.0
11,2,589.7,282.7,86.69999999999993,48.69999999999999,1,1,0.0
11,3,207.98,249.25,96.25000000000003,42.85000000000002,1,1,0.0
12,2,574.5,287.6,87.0,44.099999999999966,1,1,0.0
12,3,207.98,249.25,96.25000000000003,42.85000000000002,1,1,0.0
13,2,558.04,288.1,88.46000000000004,45.5,1,1,0.0
13,3,207.98,249.25,96.25000000000003,42.85000000000002,1,1,1.0
14,2,542.52,291.39,88.46000000000004,45.5,1,1,0.0
14,3,207.98,249.25,96.29999999999998,42.94,1,1,1.0
15,2,526.5,293.27,90.79999999999995,45.53000000000003,1,1,0.0
15,3,207.98,249.25,96.35,43.01999999999998,1,1,1.0
16,2,509.6,296.1,92.19999999999993,46.45999999999998,1,1,0.0
16,3,207.98,249.25,96.41,43.110000000000014,1,1,1.0
17,2,492.67,298.92,92.19999999999999,46.45999999999998,1,1,0.0
17,3,207.98,249.25,96.46000000000001,43.19999999999999,1,1,1.0
18,2,472.4,298.45,97.89999999999998,53.05000000000001,1,1,0.0
18,3,207.98,249.25,96.51000000000002,43.27999999999997,1,1,1.0
19,2,456.4,300.8,99.32000000000005,54.5,1,1,0.0
19,3,207.98,249.25,96.56000000000003,43.370000000000005,1,1,1.0
20,2,441.35,304.09,99.31999999999994,54.5,1,1,0.0
20,3,207.98,249.25,96.60999999999999,43.45999999999998,1,1,1.0
21,2,422.5,306.92,100.79999999999995,54.49000000000001,1,1,1.0
21,3,207.98,249.25,96.66,43.54000000000002,1,1,1.0
22,2,401.8,310.7,106.30000000000001,55.60000000000002,1,1,1.0
22,3,207.98,249.25,96.71000000000001,43.629999999999995,1,1,1.0
23,2,385.48,312.88,106.29999999999995,55.60000000000002,1,1,1.0
23,3,207.98,249.25,96.76000000000002,43.72000000000003,1,1,1.0
24,2,367.52,315.2,106.30000000000001,57.629999999999995,1,1,1.0
24,3,207.98,249.25,96.82000000000002,43.80000000000001,1,1,1.0
25,2,347.9,317.9,110.10000000000002,60.900000000000034,1,1,1.0
25,3,207.98,249.25,96.87000000000003,43.889999999999986,1,1,1.0
26,2,328.3,320.1,111.19999999999999,64.69999999999999,1,1,1.0
26,3,207.98,249.25,96.91999999999999,43.98000000000002,1,1,1.0
27,2,307.6,323.9,115.0,65.20000000000005,1,1,1.0
27,3,207.98,249.25,96.97,44.06,1,1,1.0
28,2,286.38,328.25,117.72000000000003,65.19999999999999,1,1,1.0
28,3,207.98,249.25,97.02000000000001,44.14999999999998,1,1,1.0
29,2,264.52,330.68,120.78000000000003,65.19999999999999,1,1,1.0
29,3,207.98,249.33,97.03,44.109999999999985,1,1,1.0
30,2,244.2,335.8,123.5,64.0,1,1,1.0
30,3,207.98,249.4,97.04999999999998,44.09,1,1,1.0
31,2,222.3,339.4,126.59999999999997,63.400000000000034,1,1,1.0
31,3,207.98,249.47,97.06000000000003,44.059999999999974,1,1,1.0
32,2,195.3,343.04,133.59999999999997,65.25999999999999,1,1,1.0
32,3,207.98,249.54,97.07000000000002,44.03,1,1,1.0
33,2,173.53,346.85,133.6,65.25999999999999,1,1,1.0
33,3,207.98,249.61,97.09,44.00999999999999,1,1,1.0
34,2,149.05,352.29,139.05,68.00999999999999,1,1,1.0
34,3,207.98,249.68,97.1,43.98000000000002,1,1,1.0
35,2,124.66,353.9,142.23999999999998,72.10000000000002,1,1,1.0
35,3,207.98,249.75,97.10999999999999,43.94999999999999,1,1,1.0
36,2,98.65,359.18,146.75,72.09999999999997,1,1,1.0
36,3,207.98,249.83,97.13000000000002,43.91999999999999,1,1,1.0
37,2,73.45,363.66,151.25,72.08999999999997,1,1,1.0
37,3,207.98,249.9,97.14000000000001,43.890000000000015,1,1,1.0
38,2,45.81,367.72,153.69,72.09999999999997,1,1,1.0
